tahun;kecamatan ;desa ;tgl kejadian;jenis bencana;jumlah kejadian;korban jiwa;ruksak berat;ruksak sedang;rusak rigan
2019;Pakenjeng;Wangunjaya ;02/01/2019;Pergerakan Tanah;1;;;;
2019;Pamulihan;Panawa;02/01/2019;Sambaran petir;1;;;;
2019;Pakenjeng;pasir langu;05/01/2019;Pergerakan Tanah;1;;;;
2019;Pakenjeng;Wangunjaya ;03/01/2019;Tanah Longsor;1;;;;
2019;Pasirwangi;Sarimukti;05/01/2019;Kebakaran Rumah;1;;;;
2019;Pendeuy;Sukanagara;09/01/2019;Kebakaran Rumah;1;5;;1;
2019;Talegong;Sukamulya;09/01/2019;Tanah Longsor;1;;;;
2019;Pendeuy;Toblong;09/01/2019;Tanah Longsor;1;;;;
2019;Pamulihan;Pakenjeng;09/01/2019;Tanah Longsor;1;;;;
2019;Talegong;Sukamulya;10/01/2019;Tanah Longsor;1;;;;
2019;Cisompet;Neglasari;10/01/2019;Tanah Longsor;1;;;;
2019;Cisompet;Neglasari;10/01/2019;Pergerakan Tanah;1;108;1;;
2019;Cigedug;Barusuda;11/01/2019;Banjir Bandang;1;;3;1;
2019;Tarogong Kidul;Sukajaya;11/01/2019;Angin Puting Beliung;1;20;1;;
2019;Tarogong Kidul;Sukakarya;11/01/2019;Angin Puting Beliung;1;;;;
2019;Tarogong Kidul;Haur Panggung;11/01/2019;Angin Puting Beliung;1;;;;
2019;Karang tengah;Cintamanik;12/01/2019;Tanah Longsor;1;;;;
2019;Cikajang;Padasuka;12/01/2019;Rumah Roboh;1;;1;;
2019;Cisewu;Sukajaya;13/01/2019;Tanah Longsor;1;;;;
2019;Sukawening;Sukaluyu;14/01/2019;Rumah Roboh;1;;;;
2019;Tarogong Kidul;Haur Panggung;15/01/2019;Rumah Roboh;1;;;;
2019;Cibatu;Cibatu;18/01/2019;Pergerakan Tanah;1;4;;1;
2019;Bayongbong ;Panembong;19/01/2019;Banjir;1;1;;;
2019;Samarang;Cintakarya;19/01/2019;Tanah Longsor;1;;;;
